,id,year,sentence,organization,triples,title
101,32066989,2018,"Existing approaches commonly require correct specification of the joint distribution of the longitudinal measurements, observation time process and informative censoring time under the joint modeling framework, and can be computationally cumbersome due to the complex form of the likelihood function.","Department of Biostatistics and Epidemiology, The University of Pennsylvania.","{Triple(4, Existing approaches, require, correct specification of the joint distribution of the longitudinal measurements, observation time process and informative censoring time)}",Regression Analysis of Longitudinal Data With Outcome-Dependent Sampling and Informative Censoring
105,32454074,2020,"Fluorescence imaging and Oil Red O stain assays showed all the tested macrolide drugs induced liver degeneration, changed liver size and liver steatosis in larval zebrafish.","National Institutes for Food and Drug Control, Beijing 100050, China. Electronic address: bjhcq@263.net.","{Triple(4, all the tested macrolide drugs, induced, liver degeneration)}",Liver Toxicity of Macrolide Antibiotics in Zebrafish
107,32440500,2019,"For OA cartilage with early and middle stages, cyclic loading accelerated contrast agent infiltration compared with static loading.","Beijing Key Lab of Regenerative Medicine in Orthopaedics, Beijing, China.","{Triple(4, cyclic loading, accelerated, contrast agent infiltration)}",Diffusion of Neutral Solutes Within Human Osteoarthritic Cartilage: Effect of Loading Patterns
123,31966299,2018,"Furthermore, this is the first study to demonstrate that chronic exposure to noise could induce ROS accumulation in fish plasma.","Center of Excellence for the Oceans, National Taiwan Ocean University, Keelung 202, Taiwan.","{Triple(4, chronic exposure, could induce, ROS accumulation)}",The Effects of Continuous Acoustic Stress on ROS Levels and Antioxidant-related Gene Expression in the Black Porgy ( Acanthopagrus schlegelii)
140,32104492,2018,"However, CBZ@Lipo could induce an obvious apoptosis of the cancer cells at low concentration.","College of Pharmaceutical Sciences, Zhejiang University, Hangzhou 310058, China.","{Triple(4, CBZ @ Lipo, could induce, obvious apoptosis)}","A Cabazitaxel Liposome for Increased Solubility, Enhanced Antitumor Effect and Reduced Systemic Toxicity"
142,32454211,2020,"However, digestion is a very complex process in which food is processed to obtain necessary nutrients and central mechanisms of this process require both endocrine and neuronal regulation.","Immunobiology for Aquaculture Group, Department of Cell Biology and Histology, Faculty of Biology, Campus of International Excellence, Campus Mare Nostrum, University of Murcia, Murcia, Spain. Electronic address: aesteban@um.es.","{Triple(4, central mechanisms, require, both endocrine and neuronal regulation)}",Effects of Inflammation and/or Infection on the Neuroendocrine Control of Fish Intestinal Motility: A Review
146,32010758,2018,"However, most long-term resident electronics devices require invasive procedures for implantation as well as a specialized receiver for communication.","Department of Mechanical Engineering Massachusetts Institute of Technology Cambridge, MA 02139, USA.","{Triple(4, most long-term resident electronics devices, require, invasive procedures)}",3D-Printed Gastric Resident Electronics
148,32189937,2018,"However, our findings require further validation, particularly with larger, prospective comparative studies.","Department of Orthopaedics, Concord Repatriation General Hospital, Concord, Australia.","{Triple(4, our findings, require, further validation)}",Thrombosis Rates Using Aspirin and a Compression Device as Multimodal Prophylaxis for Lower Limb Arthroplasty in a Screened Population
161,32454517,2020,"Thunderstorm can induce asthma attacks in children with allergic rhinitis owing to mugwort and aggravate symptoms in children with confirmed diagnosis of asthma.Children with mugwort allergy are susceptible to thunderstorm asthma and a preponderance of boys was observed.Better identification of allergic children to mugwort, giving suitable protective measures during thunderstorm and standard therapy to existing allergic situation could be a benefit for children at risk of thunderstorm asthma.","National Clinical Research Center for Dermatologic and Immunologic Diseases, Beijing, China. dr_guankai@126.com.","{Triple(4, Thunderstorm, can induce, asthma attacks)}","Retrospective Analysis of Epidemic Thunderstorm Asthma in Children in Yulin, Northwest China"
176,32254909,2018,"In response to near-infrared laser irradiation, the localized increase in temperature induced the controlled shape deformation of the composite hydrogels, due to the combined effect of photothermal heating of the loaded gold nanoparticles and the thermal responsiveness of the hydrogel matrix.","Department of Chemistry and Biochemistry, University of Maryland, College Park, MD 20742, USA. znie@umd.edu.","{Triple(4, localized increase, induced, controlled shape deformation)}",A Shape-Shifting Composite Hydrogel Sheet With Spatially Patterned Plasmonic Nanoparticles
193,32440593,2019,"Interestingly, we found that neural plasticity induced by ketamine requires functionally intact dopamine D3 receptors.","The Division of Brain Science, Imperial College London, London, UK.","{Triple(4, neural plasticity, requires, functionally intact dopamine D3 receptors)}",Structural Plasticity Induced by Ketamine in Human Dopaminergic Neurons as Mechanism Relevant for Treatment-Resistant Depression
70,32440509,2019,These results suggested that AP significantly abolished the DOX-induced stemness phenotype and metastasis capacity in osteosarcoma cells by inhibiting Sox2 via STAT3 signalling.,"Department of Radiation Oncology, The Affiliated Cancer Hospital of Zhengzhou University, Zhengzhou, China.","{Triple(5, AP, abolished, DOX-induced stemness phenotype and metastasis capacity)}",Apatinib Ameliorates Doxorubicin-Induced Migration and Cancer Stemness of Osteosarcoma Cells by Inhibiting Sox2 via STAT3 Signalling
75,32455433,2020,Biofortified carrots and maize without fortification prevented VA deficiency in gerbils.,"Department of Agronomy, University of Wisconsin-Madison, Madison, WI, USA.","{Triple(5, Biofortified carrots and maize, prevented, VA deficiency)}",Overlapping Vitamin A Interventions With Provitamin A Carotenoids and Preformed Vitamin A Cause Excessive Liver Retinol Stores in Male Mongolian Gerbils
80,31763250,2017,Concomitant management of the dental origin and the associated sinusitis will ensure complete resolution of the infection and may prevent recurrences and complications.,"ENT Clinic, No. 22/4, Above Ranganatha Hardware, Near Vijaya Hotel, AVK College Road, P.J Extension, Davanagere, 577002 India.","{Triple(5, Concomitant management, may prevent, recurrences and complications)}",Odontogenic Fungal Maxillary Sinusitis: A Case Report of a Displaced Dental Foreign Body
82,32454511,2020,Confocal imaging in Thy1-GFP mice demonstrated that diazepam limited microglial engulfment of neuronal elements and blocked CUS-induced dendritic spine loss in the medial PFC.,"Department of Pharmacology & Systems Physiology, University of Cincinnati College of Medicine, Cincinnati, OH, USA. eric.wohleb@uc.edu.","{Triple(5, diazepam, blocked, CUS-induced dendritic spine loss)}",Diazepam Limits Microglia-Mediated Neuronal Remodeling in the Prefrontal Cortex and Associated Behavioral Consequences Following Chronic Unpredictable Stress
97,32425371,2019,Early detection of seropositivity by serial monitoring in the recipient can prevent PTLD development by starting pre-emptive therapy.,"3Department of Transplant Immunology and Immunogenetics, All India Institute of Medical Sciences, New Delhi, India.","{Triple(5, Early detection, can prevent, PTLD development)}",Post Transplant Lymphoproliferative Disorder
115,32454511,2020,"Further studies showed that diazepam normalized Csf1 and C3 mRNA in the PFC, and prevented increases in Csf1r and Cd11b in frontal cortex microglia following CUS.","Department of Pharmacology & Systems Physiology, University of Cincinnati College of Medicine, Cincinnati, OH, USA. eric.wohleb@uc.edu.","{Triple(5, diazepam, prevented, increases)}",Diazepam Limits Microglia-Mediated Neuronal Remodeling in the Prefrontal Cortex and Associated Behavioral Consequences Following Chronic Unpredictable Stress
127,30962735,2017,GEF-mediated insulin secretion was not blocked by LPA receptor antagonist.,"Department of Pharmaceutical Engineering, College of Health Sciences, Sangji University, Wonju, Republic of Korea.","{Triple(5, GEF-mediated insulin secretion, was not blocked by, LPA receptor antagonist)}",Bioactive Lipids in Gintonin-Enriched Fraction From Ginseng
133,31395349,2017,Genotoxic mutation can be prevented either by apoptosis or DNA repair.,"Department of Environmental Medicine & Biochemistry and Molecular Pharmacology, New York University School of Medicine, NY 10987, USA. Electronic address: Chunyuan.jin@nyumc.org.","{Triple(5, Genotoxic mutation, can be prevented either by, apoptosis or DNA repair)}",Histone Variants in Environmental-Stress-Induced DNA Damage Repair
136,32425371,2019,"Hence, a better understanding in pathobiology of EBV+ versus EBV- PTLDS may help prevent lymphomagenesis in transplant recipients.","3Department of Transplant Immunology and Immunogenetics, All India Institute of Medical Sciences, New Delhi, India.","{Triple(5, better understanding, may help prevent, lymphomagenesis)}",Post Transplant Lymphoproliferative Disorder
147,30622427,2017,"However, oral administration of resveratrol before DMN significantly prevented the induced loss in body weight, as well as the increase in liver weight which arise from DMN administration.","Department of Biological Sciences, Faculty of Sciences, King Abdulaziz University, P.O. Box 80200, Jeddah 21589, Saudi Arabia.","{Triple(5, oral administration, prevented, induced loss)}",Influence of Resveratrol on Liver Fibrosis Induced by Dimethylnitrosamine in Male Rats
153,30400497,2017,"However, their fabrication costs prevent them from being used as disposable sensors and their effective commercial success will depend on their ability to be reused repeatedly.","FEMTO-ST Institute, Univ. Bourgogne Franche-Comt̩, CNRS, 15B avenue des Montboucons, 25030 Besan̤on, CEDEX, France. therese.leblois@femto-st.fr.","{Triple(5, their fabrication costs, prevent, them)}",A Fluidic Interface With High Flow Uniformity for Reusable Large Area Resonant Biosensors
181,32425028,2019,"In this case report the Bone Lamina prevented tissue collapse within the defect and could maintain structural integrity throughout the period required for bone regeneration; it also has the advantage of resorbable membranes, avoiding a second surgery for its removal.","Research Laboratory in Regenerative Medicine and Tissue Engineering Saint Camillus International University of Health Sciences, Rome, Italy.","{Triple(5, Bone Lamina, prevented, tissue collapse)}",Cortical Bone Lamina Approach for Mandibular Large Cystic Defect: A Case Report
202,32071493,2018,It seems likely that GAL or QUE prevented the tissue damage but the antioxidant profiles of the liver and testis are different in response to the oxidative stress.,"Department of Biochemistry, University of Port Harcourt, Choba, Nigeria.","{Triple(5, GAL or QUE, prevented, tissue damage)}",Morphometric Evaluation of the Seminiferous Tubules and the Antioxidant Protective Effects of Gallic Acid and Quercetin in the Testis and Liver of Butyl Phthalate Treated Rats
209,32426091,2019,"Limitations, including compound solubility and degradation at acidic pH, have prevented thorough investigation of the potential of these compounds.","Randall Division of Cell and Molecular Biophysics, King's College London, New Hunt's House, London, SE1 1UL, U.K.","{Triple(5, Limitations, have prevented, thorough investigation)}",Thioimidate Bond Formation Between Cardiac Troponin C and Nitrile-containing Compounds
213,32454163,2020,MAO-A inhibitors prevent neurotransmitter breakdown and increase dopamine and serotonin concentrations in the brain.,"Environment-Omics-Disease Research Center, China Medical University Hospital, China Medical University, Taichung, Taiwan, China; Graduate Institute normof Toxicology, College of Medicine, National Taiwan University, Taipei, Taiwan, China. Electronic address: d97913@mail.cmuh.org.tw.","{Triple(5, MAO-A inhibitors, prevent, neurotransmitter breakdown)}",Betel Quid Dependence Mechanism and Potential Cessation Therapy
223,25179432,2014,"Mechanistic studies revealed that although HVEM specific antibodies blocked its binding to CD160-GPI, surprisingly, these antibodies enhanced HVEM binding to CD160-TM, suggesting that potential antibody-mediated HVEM multimerization and/or induced conformational changes may be required for optimal CD160-TM binding.","Boehringer Ingelheim Ltd,, 2100 Rue Cunard, Laval, Quebec, Canada. mohamed.el-far@hotmail.com.","{Triple(5, HVEM specific antibodies, blocked, its binding)}",CD160 Isoforms and Regulation of CD4 and CD8 T-cell Responses
240,31762668,2017,More importantly Si supplementation prevented excess uptake of Na and also protected the ill effects of excess Na on the uptake and accumulation of K and Ca resulting in significant decline in Na/K ratio.,"Department of Plant Production, Faculty of Food & Agricultural Sciences, P.O. Box 2460, Riyadh 11451, Saudi Arabia.","{Triple(5, Si supplementation, prevented, excess uptake)}",Silicon Supplementation Modulates Antioxidant System and Osmolyte Accumulation to Balance Salt Stress in Acacia gerrardii Benth
264,30546244,2017,"Overall, the lack of research specific to YBM prevented any strong conclusions about the treatment effects on depression for this population.","George Warren Brown School of Social Work, Washington University in St. Louis, St. Louis, MO, USA.","{Triple(5, lack, prevented, any strong conclusions)}",A Review of Treatments for Young Black Males Experiencing Depression
295,32440509,2019,"Herein, we revealed that AP treatment significantly enhanced the sensitivity of osteosarcoma cells to DOX, reversed the DOX-induced stemness phenotype and metastasis capacity of osteosarcoma cells, and abolished the upregulation of p-STAT3, Sox2, Oct4, and Nanog.","Department of Radiation Oncology, The Affiliated Cancer Hospital of Zhengzhou University, Zhengzhou, China.","{Triple(5, AP treatment, abolished, upregulation)}",Apatinib Ameliorates Doxorubicin-Induced Migration and Cancer Stemness of Osteosarcoma Cells by Inhibiting Sox2 via STAT3 Signalling
297,32148408,2018,"Heat stress significantly increased gene and protein expression of oxidative stress-related factors such as catalase and SOD2, but treatment with JP5 and BG1 abolished this response in both liver tissue and HepG2 cells.","Department of Food Science and Biotechnology, College of Life Science, CHA University, Seongnam, Republic of Korea.","{Triple(5, treatment, abolished, this response)}","Korean Red Ginseng and Korean Black Ginseng Extracts, JP5 and BG1, Prevent Hepatic Oxidative Stress and Inflammation Induced by Environmental Heat Stress"
